Job_Title|Company_Name|Job_Location|Salary|Job_Description|Posting_Date|Company_Rating
PROGRAM ANALYST|US Department of the Navy|Arlington, VA|$102,367 - $135,047 a year|Your resume must demonstrate at least one year of specialized experience equivalent to the next lower grade level (GS-11/12) or pay band (NO-03) in the federal… |Just posted|4.3
Reporting Analyst|Accela Consulting Inc|Springfield, VA 22153|Missing|The Reporting Analyst will support data analysis, report generation, and capacity management processes and procedures. |Just posted|Missing
Oracle Federal Financials Functional / Business Analyst|Teracore|Reston, VA|Missing|Functional analyst with knowledge and experience in Oracle Accounts Receivable (AR) and Order Management Modules. Budget and Financial Management Services. |Just posted|3.6
Business Analyst I|640 Acres|Fredericksburg, VA|$70,000 a year|Must demonstrate the capability to gather and convert highly technical concepts and data into understandable, written narrative. |Just posted|Missing
Jr. Systems and Data Analyst #COVAentryleveljobs|Virginia Dept of Forestry|Charlottesville, VA 22903|$36,000 - $50,000 a year|Effectively communicates with agency staff. This role requires writing SQL queries and stored procedures to support customer requests and the ability to write… |Today|4.3
Program Analyst (Internal Controls)|US Department of the Interior|Sterling, VA 20166|$87,198 - $134,798 a year|The Bureau of Safety & Environmental Enforcement (BSEE) works to promote safety, protect the environment, and conserve resources offshore through vigorous… |Today|4.1
Research Analyst|Virginia Commonwealth University|Richmond, VA 23284 (VCU area)|$50,000 - $65,000 a year|The office provides necessary data governance to align reporting needs with business processes, ensures the highest level of data quality and provides data… |Today|4.1
Data and Financial Analyst|Atlantic Vision Partners|Richmond, VA 23219 (City Center area)|Missing|Build and manage planning data sets by organizing and analyzing a wide range of data sources. Perform quantitative analysis of operational and financial data. |Today|Missing
Senior Healthcare Data Analyst|Sentara Healthcare|Virginia Beach, VA|Missing|This position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics. Required: Data Analysis - 3 years. |Today|3.8
Senior Data Analyst (Marketing Analytics)|Stand Together|Arlington, VA 22201 (Clarendon-Courthouse area)|Missing|Experience with data visualization tools: Tableau, PowerBi etc. Writing SQL Queries or using data preparation and advanced analytic tools to support analysis. |Today|3.9
Business Analyst|ThreatTec|Hampton, VA 23666 (Magruder Area area)|Missing|Use a variety of data analysis and organizational tools to analyze relevant data, and translate data presentation to other team members. |Today|3.7
Senior Programmer Analyst Expert|Virginia Dept of Taxation|Richmond, VA 23230|$99,000 a year|Working knowledge of data warehouse concepts. Familiar with 3 tier client server applications. Provide project support by analyzing and researching complex… |Today|Missing
Management and Program Analyst|US National Aeronautics and Space Administration|Hampton, VA (Langley Air Force Base area)|$109,411 - $142,232 a year|Serves as Management and Program Analyst (Business Manager) managing workforce planning, budget formulation, analysis, execution, and reporting. |Today|4.4
Healthcare Data Analyst|Sentara Healthcare|Virginia Beach, VA|Missing|This position supports data quality and data stewardship functions to maintain data accuracy and identify new metrics. Bachelor's Level Degree OR. |Today|3.8
Data Analyst|Infobahn Solutions Inc.|Alexandria, VA 22315|$70,000 - $80,000 a year|He/She will require to work across multiple data sources to understand existing data usage and implications for data migration. Job Types: Full-time, Contract. |Today|Missing
Business Analyst, Amazon Logistics|Amazon.com Services LLC|New York, NY|Missing|3+ years experience in a business analyst, data analyst or statistical analysis role. Background in statistics methodology, applications to business problems,… |Just posted|3.6
Senior Consultant / Business Analyst|DataCatalyst LLC|New York, NY 10036 (Garment District area)|Missing|2-5 years of previous experience in data management, analysis, or another related field. Promote best practices in data analysis and reporting. |Just posted|Missing
Group Manager, Business Analysis - Bass Team Private Equity*|BNY Mellon|New York, NY 10286 (Tribeca area)|Missing|Manages and provides direction to one or more teams of business analysts supporting one large system or multiple systems. |Just posted|3.5
Data Analyst|New York Hall of Science|Corona, NY 11368|$50,000 a year|The data analyst is responsible for analyzing quantitative and qualitative data about NYSCI’s on-site visitors and online customers, turning data into business… |Today|3.8
Lead Data Analyst, Product|Vimeo|New York, NY|Missing|Strong analytical skills, data sensibility, and an able communicator. Work alongside the BI team's analysts and our Core Product team to develop and enhance… |Today|Missing
Business Intelligence and Analytics Manager|New York University|New York, NY|Missing|The ability to synthesize data, uncover inherent trends in data, assess impacts of data on business usage and make recommendations for improvement is also… |Today|4.2
Asset Management, Middle Office Business Analyst / Project Manager, Associate|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Demonstrable awareness of data governance and data strategy methodologies. Understanding of Investments data and market data supporting investment processes. |Today|3.9
Data Analyst|Dashlane|New York, NY 10010 (Flatiron District area)|Missing|Our analysts span the full data cycle from data collection to business recommendations and use advanced technologies to process and report the data. |Today|4.0
Data Analyst|SRC, Inc.|Syracuse, NY|Missing|SRC, Inc. is currently seeking a data analyst who will be responsible for developing analytical solutions for the procurement organization. |Today|4.0
Business Analyst (Pre sales BD team)|INTURN|New York State|Missing|2-3 years experience in Pre-Sales enterprise software preferred or experience in similar roles (e.g. Business Analyst, Implementation, Client Success, Product… |Today|Missing
Data Analyst|Integrative Nutrition, LLC|New York, NY 10016 (Park Slope area)|Missing|Assess and audit data quality/data integrity. 3+ years experience in a business intelligence or data analyst role. Understanding of basic accounting concepts. |Today|Missing
Data Analyst - Data Science & Analytics|Criteo|New York, NY 10016 (Gramercy area)|Missing|This position involves dealing with a considerable amount of complex, real-world data and requires a candidate who is comfortable thinking of new and innovative… |Today|4.0
Business Analyst|Cloud and Things Inc|Albany, NY|Missing|More than seven (7) years of experience working on complex projects with 2 or more years in a leadership role as a Business Analyst. |Today|5.0
Senior Data Analyst|Compass|New York, NY|Missing|Looking for people with expertise in data forensics, and who are detail-oriented, outstanding communicators, and are quick to learn new technologies/concepts. |Today|Missing
Data Analyst - Biotech Investor Relations|Precision Medicine Group|New York State|Missing|1+ year experience in a data management role. Review raw investment data received in various formats, and standardize its processing. |Today|Missing
Data Analyst|PennyMac|Agoura Hills, CA 91301 (Whizin's Row area)|Missing|Support project leads to identify valuable data sources, and work with our IT team to collect such data. Present information using data visualization techniques… |Just posted|3.0
Principal/Sr. Principal Contract Deliverables Data Analyst|Northrop Grumman|Northridge, CA|Missing|This data has historically been specified and delivered in the DoD Form 1423. Minimum of six (6) years of experience in contract deliverables, CDRLs, and… |Just posted|4.0
Business Analyst Co-op|Thermo Fisher Scientific|Carlsbad, CA 92008|Missing|Experience with data governance, auditing, and creating standards/documentation. Develop project plans using data gathered, constraints, and probable… |Just posted|3.5
MANAGEMENT AND PROGRAM ANALYST|US Department of Defense|La Palma, CA|$87,198 - $113,362 a year|Specialized experience is defined 1) utilizing DoD data systems and HR infrastructure systems (i.e. DCPDS, DCHRMS); 2) conducting in depth analysis of personnel… |Just posted|4.2
Sr. Business Analyst|Thermo Fisher Scientific|Carlsbad, CA 92008|Missing|Take the lead in developing solutions and improving business processes to maximize efficiency and minimize manual data processes. |Just posted|3.5
Management & Program Analyst|US Department of Veterans Affairs|Los Angeles, CA|$88,488 - $115,039 a year|Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A,… |Just posted|3.8
Business Analyst|Globant|San Francisco, CA|Missing| Understanding of data models and experience with extract and analyze data sets.  Experience with data migration across systems with dissimilar technologies. |Just posted|4.1
QC Analyst III|Zosano Pharma|Fremont, CA 94555 (Ardenwood area)|Missing|Analyze data and Review data per specifications and reports. Minimum of 5-10 years’ experience in QC. Conduct release and stability testing of raw materials,… |Just posted|4.0
Technical Business Analyst|Matrix Precise, Inc.|Oakland, CA|Missing|This is not a traditional business analyst role, but a combination of systems and functional analyst with hands-on experience in pseudocode (Domain Specific… |Just posted|Missing
Senior Oracle Business Analyst|Elite|Irvine, CA 92618|$70 an hour|Perform data analysis and integration with Oracle Applications. Experience in data conversion, extensions, interfaces, and reports. |Just posted|3.8
Lead Business Analyst / Product Owner - Ecommerce|Mattel|El Segundo, CA 90245|Missing|Persistent attention to detail with strong technical and business aptitude. We create innovative products and experiences that inspire, entertain and develop… |Just posted|4.0
Data Analyst|FieldLevel|California|Missing|Previous position as a data analyst/scientist or researcher. From the data we have. The job of the product data analyst is demanding in the breadth of knowledge… |Today|Missing
Data Analyst|Bayer|San Francisco, CA 94103 (South Of Market area)|Missing|Perform exploratory data analysis and build QC pipelines. Design data visualization tools for evaluating and summarizing insights and research results. |Today|4.2
Data Analyst|Peterson Caterpillar|San Leandro, CA 94577|$24 - $28 an hour|The person in the position organizes and performs data cleanup and maintenance for all Peterson CAT locations (CA and OR). |Today|Missing
Sr. Analyst, Data Operations - HBO Max|HBO Max|Los Angeles, CA|Missing|Ability, from a business and data perspective, to understand how first party data can be connected to third party data towards a strategic end point. |Today|Missing
Business Process Analyst|Baylor University|Waco, TX 76706 (Downtown area)|Missing|Assists in all system upgrades and ensures thorough testing of the functionality within upgraded versions and the accuracy of data, and interacts with software… |Just posted|4.4
Business Analyst|Amazon.com Services LLC|Austin, TX|Missing|3+ years of relevant experience in a business analyst, data analyst or statistical analysis role. 5+ years of relevant experience in a business analyst, data… |Just posted|3.6
Lead Business Analyst|Eaton|Fort Worth, TX|$98,496 - $135,432 a year|Minimum three (3) years relevant work experience in a data analytics role. Support business operational reviews by providing data analytics. |Just posted|3.8
BUDGET ANALYST|US Department of the Air Force|Randolph AFB, TX|$78,036 - $101,451 a year|Ability to gather, assemble, and analyze data to prepare budget estimates, develop alternatives, and make recommendations to resolve budget funding problems. |Just posted|4.4
Business Analyst - ExamSoft|Turnitin, LLC|Dallas, TX|Missing|ExamSoft offers a market-leading assessment-management solution that supports the entire testing process, including exam creation, administration, delivery,… |Just posted|3.5
Innovative analysts and editors|Optimum Research Consulting|Austin, TX|Missing|Opportunities to advance your knowledge of data analysis software in virtually any applied research setting. Extensive knowledge and command of qualitative (e.g… |Just posted|Missing
Sr. Business Analysis Manager - Strategic Accounts|T-Mobile|Houston, TX 77041 (Westbranch area)|$75,000 - $150,000 a year|You will use a variety of research tools to search out, break down, and analyze public and private data from disparate sources, including financial statements,… |Just posted|3.8
PROGRAM ANALYST|US Department of the Navy|Corpus Christi, TX|$64,989 - $84,491 a year|Within the Department of Defense (DoD), the appointment of retired military members within 180 days immediately following retirement date to a civilian position… |Today|4.3
Business Analyst|T-Mobile <pipe> GP Mobile|Dallas, TX 75244|Missing|Being able to analyze the data is crucial. Experience using various programming languages to analyze data & automate processes. |Today|2.9
Operations Analyst|Public Consulting Group|Austin, TX 78701 (Downtown area)|Missing|This position will be a part of a dedicated team of data and operations professionals who focus on data analysis, data management, data validation, quality… |Today|3.9
Reliability Data Analyst (RDA)/Leadership Development Program|PinnacleART|Pasadena, TX|Missing|5 years’ experience leading/supervising groups of people. Meet with Customer on a regular basis. Maintain relationship (identify objectives, pain points, and… |Just posted|2.8
Business Systems Analyst|OnlineMedEd|Austin, TX 78758 (North Austin area)|Missing|Design data quality requirements, and implement data reconciliation and data validation processes. Analyze data sources and perform gap analysis on current data… |Today|Missing
VP - Product Management / Data Analyst|JPMorgan Chase Bank, N.A.|Plano, TX|Missing|Partner across the firm's WM businesses and technology teams to help lead the build-out of core data capabilities such as data discovery & classification, data… |Today|3.9
Data Integrity Consultant 1|Wells Fargo|Austin, TX|Missing|Identifies data quality metrics and executes data quality audits to benchmark the state of data quality. The Data Integrity Consultant 1 will be responsible for… |Today|3.7
Business Analyst Manager|Service Experts|Plano, TX 75075|Missing|The Business Analyst Manager must have an analytical mindset, attention to detail, creative problem-solving skills, and solid people management skills. |Today|2.8
Business Analyst|Amazon.com Services LLC|Bellevue, WA|Missing|Extracting and combining data from various heterogeneous data sources. Propose and implement new business metrics for senior management reviews and work with… |Just posted|3.6
Program Analyst|US Department of Veterans Affairs|Tacoma, WA|$84,886 - $110,356 a year|Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A,… |Just posted|3.8
Program Business Analyst|Expeditors|Seattle, WA 98104 (Downtown area)|Missing|Source information across multiple data warehouses, including external data sources. Construct data merging mechanism and implement database maintenance. |Just posted|3.6
EPIC EMR Application Analyst/Business Intelligence|Asian Counseling & Referral Service|Seattle, WA 98144 (Columbia City area)|Missing|Maintains applications that allow users to access and analyze data in an operational data store, data warehouse or data mart. |Just posted|Missing
Business Analyst 2 / Bellevue, WA / Mobile / AM735720|BTI Solutions|Bellevue, WA|Missing|Maintain the storage and retrieval of all project communications data and business metrics. Advanced Excel (pivot tables, v look ups, etc.). |Today|2.7
Senior Data Analyst|Compass|Seattle, WA 98104 (Pioneer Square area)|Missing|Looking for people with expertise in data forensics, and who are detail-oriented, outstanding communicators, and are quick to learn new technologies/concepts. |Today|Missing
Senior Data Analyst - Remote|Vera Whole Health|Seattle, WA 98101 (Downtown area)|Missing|Minimum 3 - 5 years of experience in Data Mining {i.e., SQL, ETL, complex data warehouses). Minimum 2 - 3 years of healthcare analytics {EMR and Healthcare… |Today|3.4
Research Data Analyst Assistant II/III - Grady Lab|Fred Hutchinson Cancer Research Center|Seattle, WA 98109 (South Lake Union area)|Missing|Experience applying routine statistical analyses to high-throughput array data and/or sequencing data. Scripting experience for preprocessing, QC, and analysis… |Today|4.1
Software Business Analyst|Trupanion|Seattle, WA 98108 (Georgetown area)|Missing|Working with business leaders across the organization, the Software Business Analyst drives planning and requirements gathering for the systems at the core of… |Today|3.6
Director of Product, Business Intelligence|Sincro|Seattle, WA|Missing|This person has experience with large-scale BI Platforms, managing large data sets, and turning them into useful insights. |Today|Missing
ERP BUSINESS ARCHITECTURAL SPECIALIST (LOGISTICS/FINANCIAL ANALYST)|TQI Solutions|Bremerton, WA|$38 - $45 an hour|Experience conducting research using multiple disassociated data sources. Prepares reports and projections based on financial data. |Today|4.1
Director of Business Intelligence Analytics|Pearson|Olympia, WA|Missing|3 years of experience in leading a data analytics team. 10 years of experience in a technical data role, such as analyst, engineer, architect, or scientist. |Today|3.7
Business Analyst|Northwest Farm Credit Services|Spokane, WA|Missing|As a member-owned financial cooperative, we help business owners in agriculture, forestry and fisheries secure the financing they need to operate and grow, and… |Today|4.0
Business Analyst/Senior Business Analyst|Seagen|Bothell, WA 98021|Missing|The functional Business Analyst / Sr. Business Analyst is a member of the IT Business Solutions team. This role has domain knowledge and is responsible for… |Today|Missing
Staff Cloud Analytics Analyst|ServiceNow|Kirkland, WA 98033 (Lake View area)|Missing|8 years of related experience with a Bachelor’s degree; or 6 years and a Master’s degree; or a PhD with 3 years experience; or equivalent experience as an… |Today|3.6
Data Scientist - Junior|Shine Systems|Chantilly, VA 20151|Missing|Bachelors degree or higher in Systems Engineering or in related technical or scientific fields such as engineering, physics, mathematics, operations research,… |Today|3.6
Data Scientist|Kapitus|Arlington, VA|Missing|Experience with marketing mix modeling, digital attribution modeling, multivariate regression, time-series modeling, Bayesian statistics, segmentation modeling,… |Today|2.3
Data Scientist|Artlin Consulting|Arlington, VA|Missing|Leverage data analytics and subject matter expertise to collaboratively develop new analytic products. Support the development of new data analytic products and… |Today|3.6
Senior Healthcare Data Analyst|Sentara Healthcare|Virginia Beach, VA|Missing|The subject matter expertise required will vary based on the specific opening, but include the following:-Medical expense and trends-Quality including HEDIS… |Today|3.8
Senior Data Analyst (Marketing Analytics)|Stand Together|Arlington, VA 22201 (Clarendon-Courthouse area)|Missing|As a Senior Data Analyst (Marketing Analytics) you will be responsible for working on multiple data-based measurement projects, designing tools to visually… |Today|3.9
Data Engineer / Senior Data Scientist (TS/SCI w/Poly eligible)|Geologics Corporation|Chantilly, VA|Missing|Work closely with the data science team to ensure data cleanliness and accuracy. Work with various security system data owners to automate data integration and… |Today|4.0
AVP, AI Platform Architecture|Deloitte|Arlington, VA|Missing|These applications cross AI and analytics problems in NLP, imaging, anomoly detection, and deep automation. You will be responsible for our the overall design… |Today|4.0
Data Scientist|Infolob|Reston, VA|From $100,993 a year|Python scripts to extract data from Elasticsearch. Data Scientist: 2 years (Required). Minimum bachelor’s degree in statistics, math, ergonomics, data science… |Today|Missing
Senior Data Analyst|Freddie Mac|McLean, VA 22102|Missing|Our team governs MIS data quality processes for the I&CM BTO and delivers data insights for senior management supporting annual planning, product and project… |Today|3.8
Machine Learning modeling analyst for fraud detection - financial services|RiskSpan|Arlington, VA 22209 (Radnor-Ft Myer Heights area)|Missing|RiskSpan is a leading source of analytics, modeling, data and risk management solutions for the Consumer and Institutional Finance industries. |Today|3.7
Research Lead/Data Scientist|Bluemont Technology & Research, Inc.|McLean, VA|Missing|Contractor personnel assigned to work on this project shall be required to sign a nondisclosure form regarding all aspects of the project and project content. |Today|Missing
Senior Data Analyst - Risk|Circle|Virginia|Missing|Drive the enhancement of data tools available to data analysts at Circle. Perform complex data analysis on customer behavior, risk strategies and rule accuracy… |Today|3.7
Data Engineer - Top Secret Clearance|Deloitte|Arlington, VA|Missing|Knowledge of data mining, machine learning, data visualization and statistical modeling. Drive operational efficiency by maintaining their data ecosystems,… |Today|4.0
Data Engineer|General Dynamics Mission Systems, Inc|Chantilly, VA 20151|Missing|Work closely with the data science team to ensure data cleanliness and accuracy. Applicants selected will be subject to a U.S. Government security investigation… |Today|3.7
Principal Product Manager–Tech, Machine Learning|Amazon.com Services LLC|Arlington, VA|Missing|10+ years engineering, machine learning, product management, or relevant working experience. Diving into technical details, and evaluating trade-off decisions … |Today|3.6
Data Scientist|Innovyt|New York, NY|$65 - $70 an hour|Collating data sets for ML experiments. REMOTE (New York, NY Position)*. ML model understanding and maintenance. Feature engineering of new and existing models. |Just posted|Missing
Lead Data Scientist|CVS Health|New York, NY|Missing|Deep knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources. Excellent analytical and problem-solving skills. |Just posted|3.3
Applied Scientist, Machine Learning (BK or SF)|Etsy|Brooklyn, NY 11201|Missing|Push the state of the art and apply the latest advances in deep learning and machine learning to improve buyer and seller experiences on Etsy. |Just posted|4.3
Data Scientist, Analytics - Instagram Notification Systems|Facebook|New York, NY 10003 (Flatiron District area)|Missing|Additionally, the person would work with cross-functional partners and other data scientists across Instagram and Facebook, communicating findings and… |Today|4.2
Full Stack Developers: Natural Language Processing (NLP) and Machine Learning - Summer Interns|The New School|New York, NY 10011 (Greenwich Village area)|Missing|Big data and data modeling. You will work with a cross-functional team of data scientists, designers, and developers as well as gather input from team members… |Today|3.9
AVP, AI Platform Architecture|Deloitte|New York, NY|Missing|These applications cross AI and analytics problems in NLP, imaging, anomoly detection, and deep automation. You will be responsible for our the overall design… |Today|4.0
Data Scientist|Raytheon Technologies Corporate|Brooklyn, NY|Missing|Work with business units and lead data scientists to implement real-world critical use cases on the platform. Experience with industrial/commercial applications… |Today|3.9
Data Scientist|RBC|New York, NY 10281 (Battery Park area)|Missing|Implement statistical, machine learning, or mathematical methodologies as needed for specific problems, or data analysis by leveraging alternative data sets. |Today|4.0
Data Scientist Intern|Triton International|Purchase, NY 10577|Missing|Assist commercial teams in developing business leads using data analytics. Work with our data warehouse and analytics team to perform ongoing and ad-hoc fleet… |Today|4.7
VP Data Science & Data Engineering|Thinx|New York State|Missing|Build a high performance, responsive team of data scientists, analysts, and data engineers that are able to gather, synthesize, and distribute data quickly and… |Today|3.0
Data Analyst - Data Science & Analytics|Criteo|New York, NY 10016 (Gramercy area)|Missing|Partner with Account Strategy to maximize campaign health and performance through data-driven insights. Minimum 2 years full-time, analytics-relevant work… |Today|4.0
Senior Data Analyst|Compass|New York, NY|Missing|Serve as a subject matter expert and escalation point on data quality issues reported by front-line customer and product support teams. |Today|Missing
Senior Data Analyst|Dashlane|New York, NY 10010 (Flatiron District area)|Missing|Our analysts span the full data cycle from data collection to business recommendations and use advanced technologies to process and report the data. |Today|4.0
Executive Director, Machine Learning Scientist|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Hands-on experience and solid understanding of machine learning and deep learning methods. The successful candidate will apply sophisticated machine learning… |Today|3.9
Head of Data Science, TD Securities|TD Bank|New York, NY|Missing|Build, manage and develop a team of high performing data scientists to support the activities around data handling, analysis and visualization. |Today|3.8
Data Scientist, Buyer Risk (Multiple levels)|Wish|San Francisco, CA 94103 (South of Market area)|Missing|You enjoy managing stakeholders, complex multi-team project management, taking end-to-end responsibilities, and ownership over a project. |Just posted|4.0
Principal Data Scientist|KORNFERRY|California|Missing|Develop and/or deliver a plan for significant aspects of a machine learning project with product managers, and other stakeholders. |Just posted|3.5
Lead Data Scientist|KORNFERRY|California|Missing|Set and lead execution of the data and analytics reporting plan, creating strategies and templates to report data in a meaningful way. |Just posted|3.5
Data Science Program Coordinator|UC San Diego|San Diego, CA|Missing|The institute will support collaborations between researchers across campus and will also provide critical resources to support innovation in data science. |Just posted|4.2
Sr Data Scientist|CVS Health|San Francisco, CA|Missing|Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources. Master’s degree or PhD preferred. |Just posted|3.3
Principal/Sr. Principal Contract Deliverables Data Analyst|Northrop Grumman|Northridge, CA|Missing|This data has historically been specified and delivered in the DoD Form 1423. Relocation assistance is NOT available for this position. CDRL Reports to include: |Just posted|4.0
Machine Learning Engineer - Safety Product|Twitch Interactive, Inc.|San Francisco, CA|Missing|Work on event-driven data flows to evolve machine learning applications. Design and build scalable infrastructure that enables deploying machine learning models… |Just posted|3.6
Sr. Staff/Staff META ML Engineer|Twitter|San Francisco, CA 94103 (South of Market area)|Missing|You have a broad knowledge of machine learning as applied to social systems, as well as deep domain expertise in a relevant application area. |Just posted|4.1
Sr Manager Data Science & Analytics (Supply Chain)|Mattel|El Segundo, CA 90245|Missing|Partner closely with internal stakeholders to drive new insights and product ideas into the supply chain lifecycle and hire a team of data scientists for… |Just posted|4.0
Product Data Scientist, Discover|Snapchat|San Francisco, CA|Missing|Set product goals, design and evaluate experiments, monitor the health of our products and understand changes to our KPIs. |Today|3.5
Sr. Data Scientist|EDF Renewables|San Diego, CA 92128 (Carmel Mountain area)|Missing|Build forecasting models using advanced statistical, machine learning, and deep learning techniques. Interact with internal customers and stakeholders to ensure… |Today|3.8
Data Scientist, Analytics - Instagram Notification Systems|Facebook|Menlo Park, CA|Missing|Additionally, the person would work with cross-functional partners and other data scientists across Instagram and Facebook, communicating findings and… |Today|4.2
Senior Statistician|UCLA|Los Angeles, CA|Missing|The incumbent will research and develop methods for measuring and analyzing health outcomes and evaluating efficacy of health programs. |Today|4.3
STATISTICAL PROGRAMMER I/ II/SENIOR|Precision Medicine Group|California|Missing|You are a strong SAS programmer, experienced in supporting the analysis of clinical trial data. Program analysis datasets, tables, figures, and listings to… |Today|Missing
Sr. Data Scientist, Battery Systems|Lucid Motors|Newark, CA|Missing|Relevant work experience, including experience applying advanced analytics, and data mining techniques. Adapt machine learning and data mining algorithms to… |Today|4.2
Director, Data Science|Santander Bank|Dallas, TX|Missing|Leads multiple teams led by managers from project scoping to final solution in a cross-business capability dedicated for using advanced data analytics to solve… |Just posted|3.6
Data Engineering Intern|Spectral MD|Dallas, TX 75201 (Oak Lawn area)|$15 an hour|Perform data cleaning for machine learning and deep learning algorithms. This candidate will be responsible for developing new machine learning and deep… |Today|Missing
Machine Learning Framework Software Development Engineer - 89623|Advanced Micro Devices, Inc.|Austin, TX|Missing|Become part of an AMD development team and open source community to analyze, develop, test and deploy improvements to make AMD the best platform for machine… |Today|3.8
PhD Recruiting Lead, Software Engineering and Core Data Science|Facebook|Austin, TX (Downtown area)|Missing|Experience with compiling, analyzing and capturing insights from data to support business decisions. Compile and analyze data and metrics to support business… |Today|4.2
