Job_Title|Company_Name|Job_Location|Salary|Job_Description|Posting_Date|Company_Rating
Equity Trading Software Engineer|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Are passionate technologists who care about the code they engineer the quality and elegance of the solutions they build. Have excellent knowledge of core Java. |Today|3.9
Data Engineer II|FairyGodBoss|New York, NY|Missing|We’re looking for a data engineer who wants to improve our data platform and make sure the right stakeholders have access to the data they need. |Today|Missing
Senior Applied Research Engineer|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Strong knowledge of Machine Learning foundations and techniques covering machine learning frameworks & platforms e.g. Scikit-learn, TensorFlow, Keras, Mxnet,… |Today|3.9
Software Engineer, Android|Current|New York, NY|Missing|You will be working closely with our product and design teams to build our consumer mobile experience. Experience building complex applications for the Android… |Today|3.7
Technical Product Manager|Ayasdi|New York, NY 10003 (Greenwich Village area)|Missing|You will have a proven track record of building successful commercial products with a focus on data analytics, machine learning and visualization. |Today|2.3
Director of Product, Marketplace (Personalization, Fraud and Revenue) - (Re|DISQO|United States|Missing|Experience working with Data Science teams and deploying machine learning models to production. The team's machine learning engineers, data scientists, and PMs… |Today|Missing
Software Development Engineer - ML|Amazon.com Services LLC|New York, NY|Missing|Experience in building large-scale machine-learning / deep learning infrastructure for online recommendation, ads ranking, advertising personalization, or… |Today|3.6
Software Engineer|RailComm|Fairport, NY 14450|$73,025 - $89,253 a year| Experience with analytics and machine learning is a plus.  Work closely with the Quality Assurance team to ensure robust, reliable, and safe software. |Today|Missing
Machine Learning Engineer - Safety Product|Twitch Interactive, Inc.|San Francisco, CA|Missing|Build distributed services to power machine learning solutions. Work on event-driven data flows to evolve machine learning applications. |Just posted|3.6
Data Engineer, Marketing Measurement|Amazon.com Services LLC|Santa Monica, CA|Missing|You will work closely with engineers and scientists contributing to the ongoing development and evolution of the underlying machine learning systems and… |Just posted|3.6
Mechanical Engineer|SMP Engineering|Glendale, CA|Missing|Make things work. use our modern, fully equipped machine shop to utilize your hands-on experience to build and assemble prototypes and mock-ups. |Just posted|4.0
Traffic Software Engineer|ADAPT Technology LLC.|Mountain View, CA 94043|$65.00 - $82.50 an hour|Machine learning, deep learning, reinforcement learning, etc: 2 years (Preferred). (Optional) Experience in some or many of the following areas: machine… |Just posted|Missing
Bioinformatics Software Engineer|BioDiscovery Inc|El Segundo, CA|Missing|BioDiscovery engineers work on problems at the intersection of biology, computer science and machine learning. Experience in Scala would be a strong plus. |Just posted|Missing
Sr. ML Ops Engineer|Sense Talent Labs, Inc.|San Francisco, CA|Missing|In this role, you’ll work at the intersection of Machine Learning, DevOps and Data Engineering, and you’ll be responsible for deploying and maintaining ML… |Just posted|Missing
Senior Ruby on Rails Developer|CyberCoders|Los Angeles, CA 90001|$100,000 - $150,000 a year|We are tackling complex and interesting technical challenges every day. Some of our current challenges include using Geographic Information Services (GIS), Big… |Just posted|3.3
Traffic Software Engineer|Segula Technologies|Mountain View, CA|Missing|(Optional) Experience in some or many of the following areas: machine learning, deep learning, reinforcement learning, etc. |Just posted|3.1
Software Engineer III – Backend & Services|Walmart|Sunnyvale, CA 94086 (West Murphy area)|Missing|Strong inclination towards exploring and learning new technologies. We build smart data systems that ingest, model, analyze and optimize the massive flow of… |Just posted|3.5
Network Engineer II|Astreya|San Jose, CA|Missing|Have a full understanding of routing, switching, server operating systems, active directory, firewalls, wireless controllers, DNS, email, virtual machines and… |Just posted|2.8
AI/ML- Engineering Manager, Data Platform Siri Search, Knowledge & Platform|Apple|Santa Clara, CA|Missing|Excellent verbal and written communication skills, able to collaborate cross-functionally with data science, machine learning, data platform and analytics teams… |Just posted|4.2
Senior Software Engineer – Frontend & Full Stack|Walmart|Sunnyvale, CA 94086 (West Murphy area)|Missing|We build smart data systems that ingest, model, analyze and optimize the massive flow of data from online and store user activity and transactions. |Just posted|3.5
Platform Services Manager - Opportunity for Working Remotely Palo Alto, CA|VMware|Palo Alto, CA|Missing|You have previous people management experience with proven ability to motivate and coach diverse teams to optimize performance. Full Time/ Part Time: Full Time. |Just posted|4.0
Senior Enterprise Cloud Architect|KORNFERRY|California|Missing|Drive innovation in emerging technology practices that support big data aggregation, analysis, visualization, machine learning and associated data science and… |Just posted|3.5
Lead Machine Learning Engineer|Wurl, Inc|California|Missing|Contribute in a leadership position to Wurl's data analytics and machine learning initiatives. Wurl is seeking an experienced, detail-oriented data scientist… |Today|Missing
Platform Services Manager - Opportunity for Working Remotely Dallas, TX|VMware|Dallas, TX|Missing|You have previous people management experience with proven ability to motivate and coach diverse teams to optimize performance. Full Time/ Part Time: Full Time. |Just posted|4.0
Machine Learning Framework Software Development Engineer - 89623|Advanced Micro Devices, Inc.|Austin, TX|Missing|Optimize the entire deep learning pipeline. Become part of an AMD development team and open source community to analyze, develop, test and deploy improvements… |Today|3.8
Infrastructure Engineer (Neuron)|CDK Global|Austin, TX 78703|Missing|You’ll help design and build our enterprise-scale SaaS infrastructure to stay ahead of our growing usage, planning for scalability, high availability, and low… |Today|3.2
Computer Vision Engineer|Hired Recruiters|Austin, TX|Missing|Architect and build a pipeline to intelligently extract 3D scene data from sequences of panoramic images, using a mix of geometric and deep learning approaches. |Today|Missing
Research Scientist Intern|Spectral MD|Dallas, TX 75201 (Oak Lawn area)|$15 an hour|Manage and analyze optical imaging data using machine learning, AI, and optical methods. Collaborate with a fast-moving, multidisciplinary team of research and… |Today|Missing
Software Engineer|Trelly Group|Dallas, TX|Missing|As a software engineer, you will exercise a high amount of independence on tasks such as designing server-client interfaces, architecting learning algorithms,… |Today|Missing
Sr Software Engineer - UI Developer|Southwest Airlines Co.|Dallas, TX 75235 (Love Field Area area)|Missing|Develops, tests and operates end-to-end software solutions using machine learning, related optimization, and knowledge systems. High School Diploma or GED. |Today|4.3
Senior Big Data Software Engineer|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|BS/BA degree or equivalent experience. Advanced knowledge of application, data, and infrastructure architecture disciplines. |Today|3.9
Cloud/Python Software Engineer - Athena Quant Engineering|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|Morgan developed platform OmniAI which uses AWS SageMaker to build machine learning models. In this team you will work with Quantitative Researchers to… |Today|3.9
Security Engineer, Identity - Governance & Administration|Hired Recruiters|Austin, TX|Missing|This security engineer will be part of a global team of experienced engineers; designing, developing and supporting enterprise security solutions in the… |Today|Missing
Software Engineering|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|This includes design, analysis, development, coding, testing and documentation. You will partner closely with business partners and the broader technology team. |Today|3.9
PhD Recruiting Lead, Software Engineering and Core Data Science|Facebook|Austin, TX (Downtown area)|Missing|The position is full-time. Lead a team of recruiters responsible for Machine Learning, Systems/Infra, and Core Data Science hiring — including development of… |Today|4.2
Director of Product, Marketplace (Personalization, Fraud and Revenue) - (Re|DISQO|United States|Missing|Experience working with Data Science teams and deploying machine learning models to production. The team's machine learning engineers, data scientists, and PMs… |Today|Missing
Technical Support Engineer 2|Dell Technologies|Round Rock, TX|Missing|Take ownership of technically complex customer reported issues from web, phone, chat and email sources and work closely with the customer until it is completely… |Today|4.0
Data Engineer|DISCO|Austin, TX|Missing|Strong understanding of machine learning methods, especially deep learning for NLP. Conceptual knowledge of machine learning techniques and workflows. |Today|Missing
Machine Learning Engineer II|Amazon.com Services LLC|Seattle, WA|Missing|Experience building large-scale machine-learning models. Experience with machine learning, data mining, and/or statistical analysis tools. |Just posted|3.6
Support Engineer - Enterprise Secure Certificates|Amazon Dev Center U.S., Inc.|Seattle, WA|Missing|Detect patterns and partner with development engineers to reduce defects and make the team's software easier to use. Be the customer's advocate. |Just posted|3.6
Business Intelligence Engineer - Customer Packaging Experience|Amazon.com Services LLC|Seattle, WA|Missing|Knowledge of various machine learning techniques and key parameters that affect their performance. The Customer Packaging Experience (CPEX) team is looking for… |Just posted|3.6
Security Engineer|Amazon.com Services LLC|Seattle, WA|Missing|We will need to tackle problems that span a variety of domains: computer vision, image recognition, machine learning, real-time and distributed systems. |Just posted|3.6
Software Development Engineer|Amazon.com Services LLC|Seattle, WA|Missing|We build advanced systems to detect and prevent prohibited transactions with the denied parties using advanced set of algorithms and machine learning (ML)… |Just posted|3.6
Embedded Software Engineer|Amazon.com Services LLC|Seattle, WA|Missing|We need people who want to join a high-reaching program that continues to collaborate and push the state of the art in computer vision, machine learning,… |Just posted|3.6
Quality Assurance Manager|Amazon.com Services LLC|Seattle, WA|Missing|Familiarity with AWS tools for data processing, machine learning and visualization. 3+ years of experience managing Quality Assurance Teams. |Just posted|3.6
AI/ML - Data Infrastructure Solr/Search Engineer, Siri Search & Knowledge Platform|Apple|Seattle, WA|Missing|You will be responsible for the Search Infrastructure that powers the Siri Data teams for analytics and machine learning. Experience with AWS is a big plus. |Just posted|4.2
Software Development Engineer (Full Stack)|Amazon.com Services LLC|Seattle, WA|Missing|2+ years of non-internship professional software development experience. Programming experience with at least one modern language such as Java, C++, or C#… |Just posted|3.6
AI/ML - Data Platform Engineer, Siri Search, Knowledge & Platform|Apple|Seattle, WA|Missing|Excellent verbal and written communication skills, able to collaborate cross-functionally with data science, machine learning, data platform and analytics teams… |Just posted|4.2
Big Data Software Engineer|Amazon.com Services LLC|Seattle, WA|Missing|Our tools are strategically important to our leadership, finance, economists, analysts, machine learning scientists, SDEs and BI partners to drive long-term… |Just posted|3.6
Software Development Manager|Amazon Dev Center U.S., Inc.|Seattle, WA|Missing|Quickly and reliably deliver high quality technical solutions that will delight Amazon engineers. We own the tools and services that Amazon engineers use to… |Just posted|3.6
Sr. Software Development Engineer|Amazon.com Services LLC|Seattle, WA|Missing|1+ year working with understanding of data science and machine learning concepts, and search technologies. Experience taking a leading role in building complex… |Just posted|3.6
Technical Program Manager - QuickSight Q|Amazon Dev Center U.S., Inc.|Seattle, WA|Missing|QuickSight Q uses machine learning models that are trained on data from various domains acquired from both internal Amazon teams and external sources. |Just posted|3.6
Applied Scientist II, Amazon Photos|Amazon.com Services LLC|Seattle, WA|Missing|2+ years of experience of building machine learning models for business application. Ability to lead and mentor engineers. |Just posted|3.6
ServiceNow Data Visualization Engineer|Veracity Consulting Group|Glen Allen, VA 23060|Missing|Required experience with visualization frameworks including HighCharts and D3 for developing report visualizations with 3rd party data. |Today|Missing
Data Engineer / Senior Data Scientist (TS/SCI w/Poly eligible)|Geologics Corporation|Chantilly, VA|Missing|Work closely with the data science team to ensure data cleanliness and accuracy. Work with various security system data owners to automate data integration and… |Today|4.0
Data Engineer I/II|Liebherr Mining Equipment Newport News Co.|Newport News, VA|Missing|Assists power users with various BI reporting tools and accessing corporate data sources. Train power users in various BI reporting tools and accessing… |Today|3.9
Associate Data Engineer (Full Time Starting Summer 2021 - Richmond, VA)|EAB|Richmond, VA 23219 (City Center area)|Missing|Experience developing logical data models within a data warehouse. Codify high-performing SQL for efficient data transformation. |Today|3.8
Data Engineer|General Dynamics Mission Systems, Inc|Chantilly, VA 20151|Missing|Work closely with the data science team to ensure data cleanliness and accuracy. Data Engineers work with various security system data owners to automate data… |Today|3.7
Data Engineer - Top Secret Clearance|Deloitte|Arlington, VA|Missing|Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights… |Today|4.0
Senior Data Engineer - AWS|T-Rex Solutions|Virginia|Missing|Understand data needs and be able to construct data pipelines for automating event driven bi-directional selective data replication, along with micro-batch and… |Today|Missing
Geospatial Data Engineer|Whitespace, LTD|Springfield, VA 22150|Missing|Documented experience in managing ETL workflows (extraction of data from the source system, cleaning, transforming, and loading that data into the target data… |Today|Missing
Data Engineer - AWS|T-Rex Solutions|Virginia|Missing|Understand data needs and be able to construct data pipelines for automating event driven bi-directional selective data replication, along with micro-batch and… |Today|Missing
Data Center Operations Engineer (Maintenance)|Belcan|Alexandria, VA|Missing|4+ years of data center experience. Operate and maintain mechanical and electrical equipment within the data center. Walk job sites in uneven terrain. |1 day ago|3.6
Data Engineer|Amazon.com Services LLC|Arlington, VA|Missing|Designs data integrations and data quality framework. Strong knowledge of data management fundamentals and data storage principles. |1 day ago|3.6
Senior Data Engineer|REI Systems|Sterling, VA 20166|Missing|Work with team leaders, data engineers and data analysts in resolving complex technical and operational issues. Solid understanding of CI/CD pipeline. |1 day ago|3.8
Data Engineer|Trillion Technology Solutions|Reston, VA|Missing|They are expected to work in close collaboration with data supplier, customer and data consumer teams for effective and efficient delivery to schedules and… |1 day ago|Missing
Data Engineer|540|Arlington County, VA|Missing|3+ years in data engineering, data science or data visualization. Experience with large data products such as Hadoop, Spark, NoSQL, Redshift, or similar. |1 day ago|Missing
Interdisciplinary Computer Scientist Computer Engineer (DATA SYSTEMS)|US Department of Defense|Herndon, VA|$103,690 - $159,286 a year|Designing and implementing high performance data pipelines for distributed systems and data analytics for customers. Must be a U.S. citizen. |1 day ago|4.2
Data Engineer|Innovyt|New York, NY|$65 - $70 an hour|Data engineer with Databricks , Python and Pyspark. *. Design, develop and Unit Test real-time and batch data ingestion pipelines using pySpark. |Just posted|Missing
Data Engineer|Green Street|New York, NY|Missing|Prior knowledge of finance, real estate data, mathematics, or GIS / spatial data is a plus. Architect and build database schema, data ingestion models, ETLs,… |Just posted|3.3
Data Engineer II|FairyGodBoss|New York, NY|Missing|We’re looking for a data engineer who wants to improve our data platform and make sure the right stakeholders have access to the data they need. |Today|Missing
Data Center Engineer I|JPMorgan Chase Bank, N.A.|Orangeburg, NY|Missing|You will be responsible for installing and configuring enterprise class technology hardware, troubleshooting hardware and network issues, maintain change… |Today|3.9
Data Engineer|Blink Health|New York, NY|Missing|Creating scalable data models for analytics. As Data Engineer, you will be a helping building our next generation of data tools and frameworks, in addition to… |Today|4.3
Principal Data Engineer|Blink Health|New York, NY|Missing|Creating scalable data models for analytics. As a Principal Data Engineer, you will be a thought leader within the data engineering team that is designing and… |Today|4.3
Senior Software Engineer, Team Lead – Data Engineering and Reporting|AT&T|New York, NY|Missing|We are responsible for developing and maintaining reporting tools and data pipelines within Xandr’s data universe. Working with large (15TB+) data sets. |Today|3.7
Senior Data Engineer|Blink Health|New York, NY|Missing|Creating scalable data models for analytics. As a Senior Data Engineer, you will be a thought leader within the data engineering team that is designing and… |Today|4.3
Big Data Engineer Lead|The NPD Group|New York, NY|Missing|Design optimized Hadoop and big data solutions for data ingestion, data processing, data wrangling, and data delivery. |Today|3.3
Data Engineer|MANTL|New York State|Missing|You have 5+ years of experience performing data cleansing and validation, data model creation and enterprise data warehouse setup and maintenace, and Extracting… |1 day ago|Missing
Lead Data Engineer|AlphaSense|New York State|Missing|5+ years of experience successfully delivering data engineering solutions which enable business insights and data-driven capabilities. |1 day ago|1.8
Data Architect/Engineer|Cloud and Things Inc|Albany, NY|Missing|Analyze existing system databases to determine data availability and needs with respect to the legacy applications Determine the source/location of the data… |1 day ago|5.0
Senior Data Engineer|CVS Health|New York, NY|Missing|Builds data marts and data models to support Data Science and other internal customers. Collaborates with data science team to transform data and integrate… |1 day ago|3.3
Data Scientist - Software Engineer VP|JPMorgan Chase Bank, N.A.|New York, NY|Missing|Proven track record of leading and delivering data science programs and projects. Minimum of 5 years of industry experience in data science and/or relevant… |1 day ago|3.9
Senior Software Engineer - Data Platform - Opportunity for Working Remotely New York, NY|CloudHealth|New York, NY|Missing|Experience with cloud-based distributed application scaling, monitoring, and data processing. Experience with high throughput distributed data pipeline… |1 day ago|5.0
Data Engineer, Marketing Measurement|Amazon.com Services LLC|Santa Monica, CA|Missing|Experience with data modeling, data warehousing, and building ETL pipelines. In this role, you will be owning first-of-its-kind data-management solution… |Just posted|3.6
Instrumentation and Data Acquisition Hardware Engineer|Northrop Grumman|Palmdale, CA 93550|Missing|Must be able to assist in data acquisition and data collection. Experience post-test processing data from a IRIG-106 CH10 recording. |Just posted|4.0
Sr Principal Instrumentation and Data Acquisition Hardware Engineer|Northrop Grumman|Palmdale, CA 93550|Missing|Ability to assist in data acquisition and data collection. Experience post-test processing data from a IRIG-106 CH10 recording. |Just posted|4.0
Software Engineer III – Backend/Data|Walmart|Sunnyvale, CA 94086 (West Murphy area)|Missing|Extracts data from cloud-based systems, creates data pipelines and transform data to a structure that is relevant by selecting appropriate techniques. |Just posted|3.5
Data Engineer|Green Street|Newport Beach, CA 92660|Missing|Prior knowledge of finance, real estate data, mathematics, or GIS / spatial data is a plus. Architect and build database schema, data ingestion models, ETLs,… |Just posted|3.3
Process and Data Integration Engineer|Apple|Santa Clara Valley, CA 95014|Missing|Analysis, characterization and root cause identification of optoelectronic process data. Setup and maintain data reporting infrastructure in a technology… |Today|4.2
Senior Engineer, Data|Beachbody|Santa Monica, CA 90404 (Pico District area)|Missing|As a data engineer, you bring software engineering best practices to production and maintenance of analytics code and bring an engineering mindset to… |Today|3.9
Sr. Data Engineer|Fender|Los Angeles, CA|Missing|Experience with AWS data services and data pipelines that are built on those services. Able to converse in both technical (data systems) and business (data… |Today|2.9
Research Engineer - Visualization and Interactive Data Analysis|Genentech|South San Francisco, CA 94080|Missing|The VIDA research group seeks a creative and motivated scientist/engineer to design and develop novel interactive data analysis methods and systems for large… |Today|4.1
Data Engineer|Abbott Laboratories|Sylmar, CA|Missing|Prior experience in data warehousing, data modeling, ETL and SQL. Design and develop high-performance data architectures, which support data warehousing, real… |Today|4.0
Data Engineer|GroupA|Pleasanton, CA 94566|$60 - $85 an hour|Data sourcing: 2 years (Required). Focus on Data Sourcing, Architecture and Data Modeling. Hardening Requirements from proof of concept (POC). |Today|Missing
Data Engineer|Intone Networks|Los Angeles, CA|Missing|Strong experience and understanding of very large-scale data architecture, solutioning, and operationalization of data warehouses, data lakes, and analytics… |Today|4.2
Data Infrastructure Engineer|Invitae|California|Missing|Prior experience utilizing data warehousing or building out data warehouses. Our Data Infrastructure Team develops the data ingestion pipelines and data… |Today|3.3
Software Engineer – Data Streaming (Kafka)|ServiceNow|San Diego, CA 92121 (University City area)|Missing|Experience with data structures, algorithms, object-oriented design, design patterns, and performance/scale considerations. |Today|3.6
Staff Software Engineer – Data Streaming (Kafka)|ServiceNow|San Diego, CA 92121 (University City area)|Missing|Experience with large data sets. The data platform group provide storage API for higher layer applications, build our Time Series capability and/or work to… |Today|3.6
Sr Data Engineer|Hewlett Packard Enterprise|Texas|Missing|Typical assignments may involve cluster sizing, installation, configuration, health checks, performance tuning, data migration, security and automation. |Just posted|3.8
AWS Data Engineer|Arthur Grand Technologies Inc|Plano, TX|Missing|Have grown by 200% and 300% in the years 2015 and 2014 respectively as. Compared to the previous years. Strives for optimum quality and timely delivery. |Just posted|Missing
AWS Data Engineer/Developer|Arthur Grand Technologies Inc|Plano, TX|Missing|Mandatory skills: AWS EMR, Spark, AWS S3, Redshift, AWS Glue, and Apache Airflow. Familiar with development tools such as Jenkins, Jira, Git, etc. |Just posted|Missing
Data Engineer - Datastage requirement|nFolks Ltd|Dallas, TX|Missing|3+ years’ experience developing, deploying and supporting scalable and high-performance data pipelines (leveraging distributed, data movement technologies and… |Just posted|Missing
Data Center Engineer II|JPMorgan Chase Bank, N.A.|Plano, TX|Missing|Desire to develop a working knowledge of change management, corporate IT audit processes, IT risk management, technical problem resolution, operations systems… |Today|3.9
Big Data Engineer|Verizon|Irving, TX 75038|Missing|You will use functional expertise to act as an advisor to management and make recommendations on more complex projects. |Today|3.9
Lead Cybersecurity Engineer - Data Protection - Compliance|Home Depot / THD|Austin, TX 73301 (St Edwards area)|Missing|Additionally, this role will confirm the effectiveness of data protection controls to ensure compliance with approved Cybersecurity policies. |Today|3.8
Senior Big Data Software Engineer|JPMorgan Chase Bank, N.A.|Houston, TX|Missing|Advanced knowledge of application, data, and infrastructure architecture disciplines. BS/BA degree or equivalent experience. |Today|3.9
Lead Cybersecurity Engineer - Data Protection Engineering|Home Depot / THD|Austin, TX 73301 (St Edwards area)|Missing|Solid understanding of data privacy and data security principles and best practices. They have a solid understanding of the data security landscape, data… |Today|3.8
Data Engineer - Reporting|Luxoft|Plano, TX|Missing|This role will be writing code for data engineering in support of a Data Science team to assist in uncovering and stopping fraudulent transactions. |Today|4.4
Data Engineer I|MediQuant LLC|Houston, TX 77001|Missing|Strong data analysis skills (debugging data anomalies). Database management, data analysis, data science experience. FLSA Status: Full-time, Exempt. |Today|3.3
Data Engineer|DISCO|Austin, TX|Missing|Experience with data management systems, including relational databases, data frames, and distributed file systems. Even Better If You Have. |Today|Missing
Data Engineer|Charles Schwab|Westlake, TX|Missing|Designing schemas, data models and data architecture for Hadoop and HBase environments. Designing, building and support data processing pipelines to transform… |Today|4.0
Big Data Support Engineer|Charles Schwab|Westlake, TX|Missing|Knowledge in schema design, developing data models and proven ability to work with complex data is required. They help Marketing, Finance, Risk and various P&Ls… |Today|4.0
Senior Data Engineer - ETL Lead|Charles Schwab|Westlake, TX|Missing|Expertise in schema design, developing data models and proven ability to work with complex data is required. Expertise in schema design, developing data models… |Today|4.0
AI/ML - Data Infrastructure Solr/Search Engineer, Siri Search & Knowledge Platform|Apple|Seattle, WA|Missing|Collaborate across AI/ML teams to analyze and optimize their search and indexing needs for different forms of data. Experience with AWS is a big plus. |Just posted|4.2
AI/ML - Data Infrastructure Engineer, Siri Search & Knowledge Platform|Apple|Seattle, WA|Missing|Ensure data infrastructure offers reliable high quality data with consistent SLAs with good monitoring, alerting and incident response and continual investment… |Just posted|4.2
Big Data Software Engineer|Amazon.com Services LLC|Seattle, WA|Missing|Experience providing technical leadership and mentor other engineers for the best practices on the data engineering space. Experience working with Data Lakes. |Just posted|3.6
AI/ML - Data Platform Engineer, Siri Search, Knowledge & Platform|Apple|Seattle, WA|Missing|You will be a key member in the client engineering team that drives user engagement with our new generation of data platform, collaborates cross-functionally… |Just posted|4.2
Data Engineer|Honey|Bellevue, WA 98004 (Downtown area)|Missing|Build data infrastructure while focusing on data quality, data availability, and data reliability. As data engineer, lead a component design/development to… |Today|3.9
Data Center Engineer|DocuSign|Seattle, WA|Missing|5+ years' experience in data center environments. Physical rack, cable, and manage assets within data centers. |Today|3.8
Data Engineer|Blink Health|Seattle, WA|Missing|Creating scalable data models for analytics. As Data Engineer, you will be a helping building our next generation of data tools and frameworks, in addition to… |Today|4.3
Big Data Engineer|Chameleon Technology|Kirkland, WA 98033 (Moss Bay area)|Missing|Industry experience in developing relevant big data/ETL data warehouse experience building cloud native data pipelines. |Today|Missing
Principal Data Engineer|Blink Health|Seattle, WA|Missing|Creating scalable data models for analytics. As a Principal Data Engineer, you will be a thought leader within the data engineering team that is designing and… |Today|4.3
Data Application Service Engineer|Apple|Seattle, WA|Missing|Good understanding of data driven web based systems. Strong understanding and knowledge of data structures and algorithms. |Today|4.2
Senior Data Engineer|Blink Health|Seattle, WA|Missing|Creating scalable data models for analytics. As a Senior Data Engineer, you will be a thought leader within the data engineering team that is designing and… |Today|4.3
Data Engineer|Silverlink Technologies Pvt Ltd|Seattle, WA|$65 - $70 an hour|Minimum Years Of Experience Required : 10+Years . Only Needed GC and USC for the position . MUST HAVE SKILLS – MENTION ALL IN SUPPLIER SYNOPSIS*. |1 day ago|Missing
Sr. Data Engineer|Blueprint Technologies|Washington State|Missing|At least 7-years of experience as a data engineer. Audit and improve/update current service and support offerings, especially with our ETL services, data… |1 day ago|3.2
Data Backend Test Engineer|Apple|Seattle, WA|Missing|The Apple Media Products Analytics QA team is responsible for the Quality and integrity of the data collected and reported on customer experience data. |1 day ago|4.2
Data Engineer|Blueprint Technologies|Washington State|Missing|At least 7-years of experience as a data engineer. Audit and improve/update current service and support offerings, especially with our ETL services, data… |1 day ago|3.2
